,Origin,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Hardness,ph,Survivability
4,1.0,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,3.496446733,4.075075425,181.1015092,9.1,0
5,1.0,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,4.023883861,2.559708228,188.3133238,5.6,0
6,1.0,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,8.899453653,2.672988737,248.0717353,10.2,0
7,0.0,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,4.155726685,4.401424715,203.3615226,8.6,0
9,2.0,25484.50849,9.077200017,404.0416347,563.8854815,17.92780641,4.290138856,4.370561937,227.2314692,11.2,0
10,2.0,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,4.378771538,3.662291783,165.5207973,7.4,0
12,0.0,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,4.388266853,3.445756223,156.7049933,7.1,0
17,0.0,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,4.282998281,4.503660796,273.8138067,9.2,0
19,2.0,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,4.155710512,2.560299148,214.4966105,7.4,0
21,0.0,30944.36359,5.858769131,310.9308583,523.6712975,17.88423519,4.357251219,3.749701241,168.2837469,6.7,0
24,2.0,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,4.059268294,4.82478639,140.7390623,5.4,0
25,2.0,21218.70287,8.67093692,323.596349,413.2904501,14.89999957,8.785137809,5.200885077,198.7673513,6.5,0
26,1.0,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,3.443125874,4.184396969,207.9262602,3.4,0
30,2.0,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,4.284109918,5.088859989,209.6256005,7.2,0
32,0.0,22326.89205,8.161504811,307.7075086,412.9868338,12.89070856,4.200706752,5.057310517,117.7912296,10.4,0
33,0.0,32555.85254,6.845952024,387.1753165,411.9833642,10.24481507,3.817477073,3.160624468,235.0445345,7.4,0
35,0.0,19620.54533,6.060712995,323.8363839,441.7483793,10.96648615,3.916776317,3.902088768,191.952743,5.1,0
36,0.0,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,4.312068879,3.464353035,183.9087223,3.6,0
39,0.0,24683.72357,6.110612421,328.0775332,396.8769491,16.47196935,3.446276369,4.324004646,198.6143947,9.3,0
41,2.0,16658.8765,7.993829562,316.6751618,335.1203984,10.1805138,4.103844523,4.434820258,194.8740654,5.3,0
42,0.0,28780.34043,6.814028701,385.9756505,332.0327063,11.0931634,4.206750869,5.182590704,238.6899285,7.1,0
43,1.0,9973.934059,6.882248307,337.3505291,333.1924699,23.91760126,4.288177716,4.69070723,202.817483,9.9,0
46,2.0,10575.18628,4.462707246,315.6065944,391.1843151,13.28533392,8.963537797,3.195710328,209.638293,7.0,0
47,2.0,15758.74062,5.570783575,307.3525858,323.8079132,10.09086975,4.375414629,3.999775382,173.3754984,10.7,0
49,1.0,21536.22469,4.915101055,317.8829005,404.7177992,13.76832331,3.890408524,3.626135442,200.1914004,8.8,0
51,0.0,12013.55063,5.212314602,247.200826,605.2201244,9.61134874,4.205948154,2.447444464,100.4576151,7.8,0
52,0.0,19871.78845,4.96106638,288.0521917,545.9749938,10.94202426,4.286718398,3.742090426,145.0101719,6.7,0
53,2.0,11920.61084,7.230794769,339.7519188,527.70891,18.27531211,3.88434107,3.794531591,211.7141418,9.1,0
54,2.0,21783.65103,6.991259996,340.3903784,456.5564021,16.48283537,3.562523657,3.96468635,181.8933656,10.6,0
56,0.0,28779.65001,8.282808465,381.6493229,481.3188027,6.016336609,3.691156144,3.94060453,238.3351125,8.5,0
57,1.0,24323.8659,7.230164127,324.8930378,405.330482,8.236557503,9.218869856,4.460683932,190.2870501,5.0,0
60,0.0,32144.79993,6.994839617,348.3594482,269.4490512,9.6541256,4.170426573,3.902879712,233.402835,3.9,0
61,1.0,20965.47831,5.375559892,327.6505425,369.3381209,13.75810517,2.939993458,3.923749169,213.0178297,6.4,0
66,1.0,34873.93452,8.983276144,374.4335045,669.7250862,13.35318143,4.350559184,5.106655774,238.5693804,5.1,0
69,0.0,24964.7777,5.837086493,349.2692713,501.1827807,17.28771328,3.951109218,3.636364183,179.8897882,7.3,0
70,1.0,6743.346066,3.803036424,277.5990986,428.0363444,9.79962469,9.022496305,3.884891044,183.08931,7.2,0
71,2.0,33223.58153,7.05050316,297.0781535,504.378681,9.001820488,3.894816443,4.157533407,116.2993299,5.7,0
72,2.0,19460.38282,7.092462955,300.131272,556.65371,14.08360835,4.075791424,5.325833446,130.9444639,6.2,0
76,0.0,23029.66361,6.821679099,286.5228468,307.379142,9.712231911,8.785214142,3.762615331,158.7320758,3.5,0
77,1.0,37962.16799,6.684570274,326.6940179,467.5629729,14.56726886,3.94309482,3.662837732,163.6397469,3.7,0
78,2.0,24468.04839,5.756930039,314.7995983,477.5813462,16.24550434,4.072945967,2.293431406,176.6839728,6.5,0
79,0.0,31903.39981,9.865047503,376.9379723,425.9134002,8.992754272,4.255743479,3.50837265,217.522862,7.3,0
82,2.0,9566.12227,6.505923139,311.4526625,504.1459941,11.53214401,8.816045033,3.772420928,204.9617498,7.4,0
83,2.0,27267.98186,7.648599331,383.6571521,514.1189201,12.25679025,8.848969742,2.994671096,258.952732,6.0,0
84,2.0,23827.27502,5.127746861,266.9084283,573.4002951,9.833874585,9.129250666,4.191217515,133.8342291,6.4,0
86,1.0,27159.38435,7.884990658,350.4452927,465.4137746,13.86396488,4.186806103,4.916579161,232.0751766,6.8,0
87,2.0,21470.27831,6.79984141,329.178429,430.5077069,15.96604294,4.099203957,3.385508444,199.1812511,9.9,0
88,0.0,12652.36298,6.655126363,398.6477857,487.459131,9.347633986,4.232943346,5.00246726,300.2924758,10.2,0
89,2.0,28608.05208,6.325442404,377.4045382,506.9383527,13.55375101,3.770032713,2.555026904,206.3696824,8.7,0
93,2.0,27965.07215,6.588374366,373.5532353,588.3196505,16.14573205,4.096416595,2.019042018,253.2170742,9.0,0
94,1.0,11609.10905,5.495737655,304.2831932,551.1433372,9.387781276,4.042314252,3.651865808,203.1465468,7.0,0
