,Origin,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Hardness,ph,Survivability
1,0.0,18630.05786,6.635245884,317.8804857,592.8853591,15.18001312,4.048807934,4.500656275,3.7,3.716080075,0
2,1.0,19909.54173,9.275883603,328.2001718097561,418.6062131,16.86863693,4.210943082,3.05593375,8.1,8.099124189,0
5,1.0,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,4.023883861,2.559708228,5.6,5.584086638,0
7,0.0,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,4.155726685,4.401424715,8.6,8.635848719,0
10,2.0,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,4.378771538,3.662291783,7.4,7.360640106,0
11,1.0,18767.65668,8.110384501,338.6697678488889,364.0982305,14.5257457,4.350096129,4.011718108,8.0,7.974521649,0
12,0.0,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,4.388266853,3.445756223,7.1,7.119824384,0
14,0.0,28388.00489,5.072557774,337.8564883340909,444.6453523,13.2283111,4.26689931,4.777382337,7.5,7.496232208,0
15,1.0,41065.23476,9.629596276,364.4876872,516.7432819,11.53978119,4.331675229,4.376348291,6.3,6.347271761,0
16,1.0,30980.60079,10.09479601,328.6510859811321,315.1412672,20.39702184,4.054418066,4.268428858,7.1,7.0517858,0
18,0.0,19460.39813,6.204320859,341.92542574782607,431.44399,12.88875905,4.171633283,2.43608559,9.0,8.975464348,0
19,2.0,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,4.155710512,2.560299148,7.4,7.371050302,0
21,0.0,30944.36359,5.858769131,310.9308583,523.6712975,17.88423519,4.357251219,3.749701241,6.7,6.660212026,0
24,2.0,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,4.059268294,4.82478639,5.4,5.400301781,0
30,2.0,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,4.284109918,5.088859989,7.2,7.181448581,0
31,0.0,19677.89247,6.757540731,309.96400405833333,452.8362349,16.8990378,3.872907288,2.857472426,9.8,9.825489908,0
32,0.0,22326.89205,8.161504811,307.7075086,412.9868338,12.89070856,4.200706752,5.057310517,10.4,10.43329098,0
33,0.0,32555.85254,6.845952024,387.1753165,411.9833642,10.24481507,3.817477073,3.160624468,7.4,7.414148196,0
35,0.0,19620.54533,6.060712995,323.8363839,441.7483793,10.96648615,3.916776317,3.902088768,5.1,5.115817064,0
36,0.0,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,4.312068879,3.464353035,3.6,3.641629777,0
41,2.0,16658.8765,7.993829562,316.6751618,335.1203984,10.1805138,4.103844523,4.434820258,5.3,5.331940479,0
42,0.0,28780.34043,6.814028701,385.9756505,332.0327063,11.0931634,4.206750869,5.182590704,7.1,7.145771545,0
44,2.0,21568.42878,4.731348985,330.61324730588234,403.9441682,18.66822946,4.21821864,4.542801462,4.8,4.758439425,0
45,0.0,35606.44018,7.184351089,341.8448952425,504.6382604,16.14079002,4.363559455,4.137739016,5.7,5.702925977,0
47,2.0,15758.74062,5.570783575,307.3525858,323.8079132,10.09086975,4.375414629,3.999775382,10.7,10.68296643,0
49,1.0,21536.22469,4.915101055,317.8829005,404.7177992,13.76832331,3.890408524,3.626135442,8.8,8.757257397,0
52,0.0,19871.78845,4.96106638,288.0521917,545.9749938,10.94202426,4.286718398,3.742090426,6.7,6.652488091,0
53,2.0,11920.61084,7.230794769,339.7519188,527.70891,18.27531211,3.88434107,3.794531591,9.1,9.147197055,0
55,0.0,30616.61515,9.379133541,337.8564883340909,404.6707773,15.93448387,4.213918978,4.781188177,7.5,7.484254838,0
60,0.0,32144.79993,6.994839617,348.3594482,269.4490512,9.6541256,4.170426573,3.902879712,3.9,3.906078355,0
63,2.0,24656.23968,8.231900338,346.14649628333336,398.345418,12.38077079,3.900774475,4.477960248,8.7,8.692092013,0
64,2.0,32653.91036,6.53423741,328.2001718097561,416.2396301,11.11965925,4.372923452,4.068688909,8.1,8.085759801,0
65,1.0,21815.07415,7.873991885,325.3877548342105,362.1080043,14.93301266,4.172444152,5.215689206,6.2,6.203977702,0
69,0.0,24964.7777,5.837086493,349.2692713,501.1827807,17.28771328,3.951109218,3.636364183,7.3,7.261550522,0
71,2.0,33223.58153,7.05050316,297.0781535,504.378681,9.001820488,3.894816443,4.157533407,5.7,5.704764776,0
72,2.0,19460.38282,7.092462955,300.131272,556.65371,14.08360835,4.075791424,5.325833446,6.2,6.217273135,0
73,1.0,22984.05095,7.518764659,346.14649628333336,352.9425881,18.70440906,4.261381886,3.873470298,8.7,8.67993497,0
77,1.0,37962.16799,6.684570274,326.6940179,467.5629729,14.56726886,3.94309482,3.662837732,3.7,3.722500486,0
78,2.0,24468.04839,5.756930039,314.7995983,477.5813462,16.24550434,4.072945967,2.293431406,6.5,6.455004797,0
79,0.0,31903.39981,9.865047503,376.9379723,425.9134002,8.992754272,4.255743479,3.50837265,7.3,7.316804754,0
85,0.0,13116.70771,7.879347671,325.3877548342105,417.241656,7.507662315,4.270359984,3.612519615,6.2,6.20964226,0
86,1.0,27159.38435,7.884990658,350.4452927,465.4137746,13.86396488,4.186806103,4.916579161,6.8,6.762832522,0
87,2.0,21470.27831,6.79984141,329.178429,430.5077069,15.96604294,4.099203957,3.385508444,9.9,9.918717064,0
89,2.0,28608.05208,6.325442404,377.4045382,506.9383527,13.55375101,3.770032713,2.555026904,8.7,8.721726711,0
93,2.0,27965.07215,6.588374366,373.5532353,588.3196505,16.14573205,4.096416595,2.019042018,9.0,9.02678772,0
94,1.0,11609.10905,5.495737655,304.2831932,551.1433372,9.387781276,4.042314252,3.651865808,7.0,6.953371603,0
95,2.0,26687.87448,7.587196418,329.2318529,548.0727613,15.83633021,3.743927328,5.359460295,6.1,6.140877557,0
98,2.0,24627.86756,6.202469332,289.7686966,418.4332899,13.64314709,4.170282431,3.710053126,7.2,7.205559175,0
99,2.0,20868.33122,7.726040434,320.4214322,426.9943932,10.2142746,4.149951537,3.108769988,9.2,9.177869866,0
100,1.0,24405.25053,7.391510138,297.2067392,349.5189104,13.47852645,4.015929576,3.763905903,4.3,4.270716195,0
101,0.0,11519.04653,8.88955868,323.12191015396826,494.1584341,18.14537425,4.313687862,4.880875156,7.3,7.348844512,0
102,0.0,11837.12336,7.483708838,308.3985155,474.2404823,21.84591625,3.977290032,5.083014142,8.5,8.52616987,0
105,1.0,22989.79639,8.270792937,358.847115,435.0008983,17.08424565,4.149805082,3.875556805,8.5,8.490571562,0
107,2.0,9624.300462,7.954015627,348.4081949,344.3033625,7.935467758,4.370820958,5.525726338,8.9,8.858401531,0
108,0.0,27776.90105,6.443097878,347.9304004,245.859632,14.63688226,4.309786968,3.977362364,6.1,6.098156521,0
109,1.0,13237.9896,3.998265841,308.1426389,463.6472774,17.20956506,3.907675803,3.962478314,8.4,8.419970682,0
111,0.0,12710.24945,7.303126583,346.4032581,445.3741474,6.063461913,4.160881773,4.238589203,7.9,7.875895135,0
114,0.0,21871.8387,7.165509192,325.5943640792453,373.0501016,16.82661946,4.318635188,3.90235259,6.7,6.745306715,0
117,0.0,15331.30269,5.392651282,361.9029262,403.0418101,16.13112429,4.128925463,3.425763242,10.1,10.1119767,0
123,2.0,26865.37374,10.44945031,337.8564883340909,505.7093717,16.23774577,4.061094181,2.880785347,7.5,7.521051679,0
124,1.0,28918.41995,7.822528491,369.2642227,432.28527,16.26629669,4.306082844,3.772886607,8.6,8.550875469,0
125,1.0,27653.23518,8.912266341,369.5312064,382.9515048,6.580401551,4.103899434,3.285077052,10.3,10.30847766,0
127,2.0,24913.83717,9.616330437,362.30018,363.1685384,11.54266178,4.230050528,4.412589537,7.4,7.371085073,0
129,0.0,17087.0769,6.201982767,326.6623683,481.7719343,16.53518593,3.854515663,3.548775589,6.5,6.506487767,0
131,2.0,34971.80748,7.121477448,320.115497,500.6373262,18.31249854,4.161898937,3.244948477,5.0,5.03377399,0
132,2.0,17973.17886,4.916302562,275.9082279,439.6480512,18.38071193,4.034372815,2.612248953,6.9,6.912607562,0
134,0.0,35957.79218,8.130472208,379.5277063,360.0604774,20.09841289,3.758078026,4.201580906,6.1,6.078335837,0
135,0.0,28149.41179,7.1304368,319.3067851,448.2425267,19.37009087,4.126157795,4.508705098,6.2,6.242414484,0
136,1.0,14775.1456,7.484103647,305.8285533,327.2702387,12.30901596,4.249044432,3.467336915,6.1,6.06335479,0
138,1.0,13041.82914,5.820655208,327.118824,433.3816667,14.13906591,4.167424512,3.762719837,9.6,9.562405944,0
139,2.0,27141.3629,7.262416639,344.1611343,525.5987875,16.142284,4.208140929,4.289395484,8.2,8.167792632,0
144,0.0,21802.7449,6.250578031,311.598136,386.4133315,18.03523754,4.005662287,3.421766849,5.0,4.96577356,0
145,2.0,13442.60347,5.81902294,325.9065618,533.7958508,14.68753934,4.118793784,3.549298841,6.2,6.207432968,0
147,2.0,8471.677381,8.349709767,359.2685426,353.1964755,15.04708691,3.982396816,4.636556195,9.8,9.769251006,0
152,0.0,17657.08418,4.506293474,290.2898943,254.3932756,9.847655276,4.314145419,4.575931872,6.6,6.579969329,0
153,0.0,13556.7344,8.977286381,322.062447,587.3950117,12.40136807,4.143582031,4.418638132,4.8,4.801154368,0
154,1.0,19129.45837,5.851964962,333.2175631354167,434.6554586,8.663293701,4.22396892,3.692250861,7.9,7.948815718,0
155,1.0,19991.23915,7.302351651,340.1060278,356.4591369,9.614106025,4.129110554,2.124759352,6.9,6.906992172,0
159,2.0,21667.86874,6.313181872,340.2731714,472.2589937,14.39986002,3.626419781,3.720636904,7.7,7.726134808,0
161,0.0,22821.25438,8.549738274,367.9755579,380.1972,10.85928728,4.341947435,4.601860959,8.9,8.927078148,0
162,0.0,17358.79637,8.214938853,328.282029,481.1956735,14.27409228,4.154470223,4.334615732,6.2,6.20801554,0
163,2.0,9615.83271,7.62791913,277.9517037,415.0087369,16.43584291,3.945340303,4.633823862,6.1,6.128425635,0
165,2.0,14600.53952,8.105802882,384.5648525,415.6072778,16.7616247,4.247598082,3.696119712,7.3,7.308048848,0
167,2.0,26473.71324,6.967094562,352.3065857,309.9832868,17.66508338,4.243696941,5.263101572,8.6,8.640886409,0
175,2.0,28862.25717,8.961372377,298.3794584,434.7812671,17.29929446,4.15954694,4.384565156,4.4,4.430281212,0
176,2.0,23783.09956,7.75128544,340.9836834,579.2203941,13.4863791,4.153403025,3.556297467,7.2,7.240739639,0
178,2.0,24112.15347,5.529942236,297.6555749,484.1229389,11.482687,4.194256465,3.82359504,6.9,6.867301322,0
179,1.0,30989.94841,8.830102319,348.8681541,341.3885767,9.300117278,4.388922951,4.615886181,6.1,6.129637015,0
181,0.0,29136.81462,7.685775096,345.7516385,475.3413507,12.32123216,3.978514939,4.850433708,6.5,6.511618075,0
182,2.0,37625.75268,8.879822934,380.576472,580.8977004,12.29380305,4.030872484,2.880721846,5.3,5.323815584,0
183,1.0,11067.18115,7.121263609,305.7949503,289.5424601,18.54590296,4.143159667,5.22054027,6.8,6.769572869,0
184,1.0,13652.2932,5.701659125,279.7824004,538.4954044,12.03404227,4.232761514,4.032259504,5.9,5.87797404,0
185,0.0,9472.61492,6.105708489,319.5764202,259.6368031,15.62561667,4.8048197248571425,2.768238928,9.5,9.534021716,0
187,1.0,27088.47646,7.897856522,346.14649628333336,512.2773101,16.91214158,4.296819485,3.67043101,8.7,8.66159243,0
190,1.0,18344.68036,7.567676884,338.2295973,371.216973,9.039042454,4.347539692,4.172935335,7.8,7.793833573,0
191,2.0,18371.0572,6.297542536,337.0003236311111,387.6295723,16.57598077,3.967097157,3.377337638,7.6,7.59312765,0
192,2.0,16268.44861,5.317019275,316.9186485,419.2584481,16.02424609,4.184777927,4.408513182,7.4,7.362736502,0
194,0.0,23590.93213,7.683742221,351.5554822,427.4959312,20.39378167,3.67895378,2.718397734,3.7,3.719791644,0
195,1.0,20571.84571,8.984236816,325.5943640792453,336.8314548,17.74599613,4.286400597,2.951644715,6.7,6.655605026,0
197,1.0,35370.73552,7.98964067,329.7275551882353,469.4130904,13.28155615,4.356615435,4.726845017,5.6,5.590614436,0
200,2.0,16324.1152,5.293918607,315.1861206,327.786642,13.32598708,3.702640555,5.428674072,6.0,5.970035657,0
203,0.0,12206.68121,7.910711202,331.3313221490909,395.2610634,13.24613956,4.093139273,3.377132289,6.3,6.284248242,0
207,0.0,34440.77343,6.95828321,390.1042229,425.627814,13.74926131,4.054144099,3.70085384,7.9,7.947485786,0
208,0.0,14962.17783,7.428313128,336.9729496,517.5128415,18.85851888,4.195146477,4.182277582,10.0,10.02615916,0
210,2.0,22244.21824,6.59776434,352.563987,465.6164808,14.83810023,4.367201497,4.689315048,5.9,5.869736755,0
212,0.0,25299.51156,6.28604311,300.5006892,497.7903905,15.01303033,4.128995768,4.165723664,5.3,5.30414266,0
