Origin,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Hardness,ph,Survivability
river,18630.05786,6.635245884,334.40332307842704,592.8853591,15.18001312,4.048807934,4.500656275,129.4229205,3.716080075,0
lake,19909.54173,9.275883603,334.4139767923525,418.6062131,16.86863693,4.210943082,3.05593375,224.2362594,8.099124189,0
lake,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,3.496446733,4.075075425,181.1015092,9.092223456,0
lake,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,4.023883861,2.559708228,188.3133238,5.584086638,0
lake,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,8.899453653,2.672988737,248.0717353,10.22386216,0
river,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,4.155726685,4.401424715,203.3615226,8.635848719,0
ocean,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,4.378771538,3.662291783,165.5207973,7.360640106,0
river,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,4.388266853,3.445756223,156.7049933,7.119824384,0
river,28388.00489,5.072557774,330.58055254520514,444.6453523,13.2283111,4.26689931,4.777382337,205.3449822,7.496232208,0
lake,30980.60079,10.09479601,322.6532023104655,315.1412672,20.39702184,4.054418066,4.268428858,211.0494061,7.0517858,0
river,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,4.282998281,4.503660796,273.8138067,9.181560007,0
river,19460.39813,6.204320859,334.0780292121102,431.44399,12.88875905,4.171633283,2.43608559,279.3571668,8.975464348,0
ocean,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,4.155710512,2.560299148,214.4966105,7.371050302,0
river,30944.36359,5.858769131,310.9308583,523.6712975,17.88423519,4.357251219,3.749701241,168.2837469,6.660212026,0
lake,21167.5001,6.996311586,333.0776489291379,444.4788825,16.60903316,9.025707909,4.528522696,196.9032467,3.902475686,0
ocean,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,4.059268294,4.82478639,140.7390623,5.400301781,0
ocean,21218.70287,8.67093692,323.596349,413.2904501,14.89999957,8.785137809,5.200885077,198.7673513,6.514415093,0
lake,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,3.443125874,4.184396969,207.9262602,3.445061864,0
ocean,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,4.284109918,5.088859989,209.6256005,7.181448581,0
river,19677.89247,6.757540731,333.992823691775,452.8362349,16.8990378,3.872907288,2.857472426,190.7566183,9.825489908,0
river,22326.89205,8.161504811,307.7075086,412.9868338,12.89070856,4.200706752,5.057310517,117.7912296,10.43329098,0
river,32555.85254,6.845952024,387.1753165,411.9833642,10.24481507,3.817477073,3.160624468,235.0445345,7.414148196,0
river,19620.54533,6.060712995,323.8363839,441.7483793,10.96648615,3.916776317,3.902088768,191.952743,5.115817064,0
river,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,4.312068879,3.464353035,183.9087223,3.641629777,0
ocean,17281.97517,6.101083505,339.2395219210071,399.4715663,12.26500158,8.827752817,2.896546941,304.2359121,5.618064406,0
river,24683.72357,6.110612421,328.0775332,396.8769491,16.47196935,3.446276369,4.324004646,198.6143947,9.267187531,0
ocean,16658.8765,7.993829562,316.6751618,335.1203984,10.1805138,4.103844523,4.434820258,194.8740654,5.331940479,0
river,28780.34043,6.814028701,385.9756505,332.0327063,11.0931634,4.206750869,5.182590704,238.6899285,7.145771545,0
lake,9973.934059,6.882248307,337.3505291,333.1924699,23.91760126,4.288177716,4.69070723,202.817483,9.920691059,0
ocean,21568.42878,4.731348985,335.5158173273609,403.9441682,18.66822946,4.21821864,4.542801462,183.3494541,4.758439425,0
river,35606.44018,7.184351089,327.7526604037799,504.6382604,16.14079002,4.363559455,4.137739016,216.8504739,5.702925977,0
ocean,10575.18628,4.462707246,315.6065944,391.1843151,13.28533392,8.963537797,3.195710328,209.638293,6.953864226,0
ocean,15758.74062,5.570783575,307.3525858,323.8079132,10.09086975,4.375414629,3.999775382,173.3754984,10.68296643,0
lake,21536.22469,4.915101055,317.8829005,404.7177992,13.76832331,3.890408524,3.626135442,200.1914004,8.757257397,0
river,19871.78845,4.96106638,288.0521917,545.9749938,10.94202426,4.286718398,3.742090426,145.0101719,6.652488091,0
ocean,11920.61084,7.230794769,339.7519188,527.70891,18.27531211,3.88434107,3.794531591,211.7141418,9.147197055,0
ocean,21783.65103,6.991259996,340.3903784,456.5564021,16.48283537,3.562523657,3.96468635,181.8933656,10.56074464,0
river,30616.61515,9.379133541,329.7074728281528,404.6707773,15.93448387,4.213918978,4.781188177,260.0921726,7.484254838,0
river,28779.65001,8.282808465,381.6493229,481.3188027,6.016336609,3.691156144,3.94060453,238.3351125,8.520806573,0
lake,24323.8659,7.230164127,324.8930378,405.330482,8.236557503,9.218869856,4.460683932,190.2870501,4.999413811,0
river,32144.79993,6.994839617,348.3594482,269.4490512,9.6541256,4.170426573,3.902879712,233.402835,3.906078355,0
lake,20965.47831,5.375559892,327.6505425,369.3381209,13.75810517,2.939993458,3.923749169,213.0178297,6.391353624,0
ocean,24656.23968,8.231900338,332.83339108907927,398.345418,12.38077079,3.900774475,4.477960248,195.1437388,8.692092013,0
ocean,32653.91036,6.53423741,325.8856982503865,416.2396301,11.11965925,4.372923452,4.068688909,127.7396738,8.085759801,0
lake,21815.07415,7.873991885,332.3897316918531,362.1080043,14.93301266,4.172444152,5.215689206,212.3066183,6.203977702,0
lake,34873.93452,8.983276144,374.4335045,669.7250862,13.35318143,4.350559184,5.106655774,238.5693804,5.058108869,0
river,24964.7777,5.837086493,349.2692713,501.1827807,17.28771328,3.951109218,3.636364183,179.8897882,7.261550522,0
lake,6743.346066,3.803036424,277.5990986,428.0363444,9.79962469,9.022496305,3.884891044,183.08931,7.160467231,0
ocean,33223.58153,7.05050316,297.0781535,504.378681,9.001820488,3.894816443,4.157533407,116.2993299,5.704764776,0
ocean,19460.38282,7.092462955,300.131272,556.65371,14.08360835,4.075791424,5.325833446,130.9444639,6.217273135,0
lake,22984.05095,7.518764659,331.1479288575579,352.9425881,18.70440906,4.261381886,3.873470298,242.2286673,8.67993497,0
river,25650.77764,6.766009907,331.652887908562,383.0143102,13.93478804,9.033187822,5.02278363,211.3601667,6.897322141,0
river,23029.66361,6.821679099,286.5228468,307.379142,9.712231911,8.785214142,3.762615331,158.7320758,3.514545529,0
lake,37962.16799,6.684570274,326.6940179,467.5629729,14.56726886,3.94309482,3.662837732,163.6397469,3.722500486,0
ocean,24468.04839,5.756930039,314.7995983,477.5813462,16.24550434,4.072945967,2.293431406,176.6839728,6.455004797,0
river,31903.39981,9.865047503,376.9379723,425.9134002,8.992754272,4.255743479,3.50837265,217.522862,7.316804754,0
ocean,28689.59578,7.7244323,329.3295559834473,410.3872638,15.6118593,4.012762856,5.013463351,233.7643427,1.844538366,0
ocean,9566.12227,6.505923139,311.4526625,504.1459941,11.53214401,8.816045033,3.772420928,204.9617498,7.408985467,0
ocean,27267.98186,7.648599331,383.6571521,514.1189201,12.25679025,8.848969742,2.994671096,258.952732,5.976769618,0
ocean,23827.27502,5.127746861,266.9084283,573.4002951,9.833874585,9.129250666,4.191217515,133.8342291,6.395359132,0
river,13116.70771,7.879347671,336.56323155384274,417.241656,7.507662315,4.270359984,3.612519615,195.4177209,6.20964226,0
