,Origin,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Hardness,ph,Survivability
0,0.0,20791.3,7.300211873,368.5164413,564.3086542,10.37978308,8.954468402,2.963135381,204.8904555,6.98981377,0
1,0.0,18630.1,6.635245884,353.3399191,592.8853591,15.18001312,4.048807934,4.500656275,129.4229205,3.716080075,0
2,1.0,19909.5,9.275883603,284.2060215,418.6062131,16.86863693,4.210943082,3.05593375,224.2362594,8.099124189,0
3,0.0,22018.4,8.059332377,356.8861356,363.2665162,18.4365245,9.236995445,4.628770537,214.3733941,8.316765884,0
4,1.0,17979.0,6.546599974,310.1357375,398.4108134,11.55827944,3.496446733,4.075075425,181.1015092,9.092223456,0
5,1.0,28748.7,7.544868789,326.6783629,280.4679159,8.39973464,4.023883861,2.559708228,188.3133238,5.584086638,0
6,1.0,28749.7,7.513408466,393.6633955,283.6516335,13.78969532,8.899453653,2.672988737,248.0717353,10.22386216,0
7,0.0,13672.1,4.563008686,303.3097712,474.6076449,12.3638167,4.155726685,4.401424715,203.3615226,8.635848719,0
8,1.0,14285.6,7.804173553,268.6469407,389.3755659,12.70604897,4.006038634,3.595017181,118.9885791,6.519847784,0
9,2.0,25484.5,9.077200017,404.0416347,563.8854815,17.92780641,4.290138856,4.370561937,227.2314692,11.18028447,0
10,2.0,32452.6,7.550700907,326.6243535,425.3834195,15.58681044,4.378771538,3.662291783,165.5207973,7.360640106,0
11,0.0,18767.7,8.110384501,327.3406381,364.0982305,14.5257457,4.350096129,4.011718108,218.6933005,7.974521649,0
12,0.0,18730.8,3.606036091,282.3440505,347.7150273,15.92953591,4.388266853,3.445756223,156.7049933,7.119824384,0
13,2.0,27331.4,6.838223471,299.4157813,379.7618348,19.37080718,4.350406903,4.413974183,150.1749234,5.01804587,0
14,0.0,28388.0,5.072557774,414.855784,444.6453523,13.2283111,4.26689931,4.777382337,205.3449822,7.496232208,0
15,0.0,41065.2,9.629596276,364.4876872,516.7432819,11.53978119,4.331675229,4.376348291,186.7328807,6.347271761,0
16,1.0,30980.6,10.09479601,363.1796235,315.1412672,20.39702184,4.054418066,4.268428858,211.0494061,7.0517858,0
17,0.0,24041.3,6.904989726,398.3505168,477.9746419,13.38734078,4.282998281,4.503660796,273.8138067,9.181560007,0
18,0.0,19460.4,6.204320859,300.131272,431.44399,12.88875905,4.171633283,2.43608559,279.3571668,8.975464348,0
19,2.0,25630.3,4.43266929,335.7544386,469.9145515,12.50916394,4.155710512,2.560299148,214.4966105,7.371050302,0
20,0.0,22305.6,10.33391789,407.4179772,554.8200865,16.33169328,3.836929028,4.133422644,227.4350484,6.730883602,0
21,0.0,30944.4,5.858769131,310.9308583,523.6712975,17.88423519,4.357251219,3.749701241,168.2837469,6.660212026,0
22,2.0,17107.2,5.607060453,326.9439777,436.256194,14.18906221,4.108501804,5.459250956,215.9778587,8.073278952,0
23,1.0,21167.5,6.996311586,348.4749425,444.4788825,16.60903316,9.025707909,4.528522696,196.9032467,3.902475686,0
24,2.0,17266.6,10.05685248,328.3582407,472.8740733,11.25638117,4.059268294,4.82478639,140.7390623,5.400301781,0
25,2.0,21218.7,8.67093692,323.596349,413.2904501,14.89999957,8.785137809,5.200885077,198.7673513,6.514415093,0
26,1.0,33424.8,8.782147481,384.0070058,441.7858757,13.80590221,3.443125874,4.184396969,207.9262602,3.445061864,0
27,2.0,13224.9,7.906444721,304.0019928,298.9906665,12.72952472,3.922702749,4.004871128,145.7681806,7.393110153,0
28,1.0,26363.0,7.70006347,395.3894903,364.4801067,10.34895076,3.989139245,3.991564248,266.4210181,7.38658182,0
29,0.0,15193.4,9.046832707,307.0117926,563.8047433,16.56865557,3.982969421,6.038184953,148.1530614,8.951652135,0
30,2.0,15196.2,5.994678646,338.3364311,342.1112863,7.922598333,4.284109918,5.088859989,209.6256005,7.181448581,0
31,0.0,19677.9,6.757540731,414.6367262,452.8362349,16.8990378,3.872907288,2.857472426,190.7566183,9.825489908,0
32,0.0,22326.9,8.161504811,307.7075086,412.9868338,12.89070856,4.200706752,5.057310517,117.7912296,10.43329098,0
33,0.0,32555.9,6.845952024,387.1753165,411.9833642,10.24481507,3.817477073,3.160624468,235.0445345,7.414148196,0
34,2.0,14787.2,5.474914832,267.5611435,383.981723,12.16693715,8.933671181,5.029166724,232.280452,4.906491593,0
35,0.0,19620.5,6.060712995,323.8363839,441.7483793,10.96648615,3.916776317,3.902088768,191.952743,5.115817064,0
36,0.0,24752.1,5.538314133,286.059556,456.8600959,9.034066753,4.312068879,3.464353035,183.9087223,3.641629777,0
37,2.0,17282.0,6.101083505,336.466042,399.4715663,12.26500158,8.827752817,2.896546941,304.2359121,5.618064406,0
38,1.0,19942.3,5.890754583,317.7088539,427.1306715,22.46989199,3.991279451,2.907563915,143.4537313,7.473235377,0
39,0.0,24683.7,6.110612421,328.0775332,396.8769491,16.47196935,3.446276369,4.324004646,198.6143947,9.267187531,0
40,2.0,11703.9,4.599387943,309.0393204,349.3996325,18.33889255,3.7768323,3.510004045,233.8589957,7.651294226,0
41,2.0,16658.9,7.993829562,316.6751618,335.1203984,10.1805138,4.103844523,4.434820258,194.8740654,5.331940479,0
42,0.0,28780.3,6.814028701,385.9756505,332.0327063,11.0931634,4.206750869,5.182590704,238.6899285,7.145771545,0
43,1.0,9973.9,6.882248307,337.3505291,333.1924699,23.91760126,4.288177716,4.69070723,202.817483,9.920691059,0
44,2.0,21568.4,4.731348985,350.3637028,403.9441682,18.66822946,4.21821864,4.542801462,183.3494541,4.758439425,0
